%t	pwall	u1	v1	p1
0.02126	97949.9002578125	41.6608418933374	-1.52048803428183	97987.0636175112
0.02128	98038.150953125	34.6660863511399	5.5801034625799	97419.0002773552
0.0213	98211.09875	29.7702953458976	13.5346149864381	96982.2286470868
0.02132	98459.307921875	27.1500040242798	21.5906995242236	96735.8393764905
0.02134	98776.79346875	26.5483122808464	29.1461553205881	96704.4238469138
0.02136	99132.9103203125	27.5083105994183	35.8021377609633	96874.13583401
0.02138	99487.605734375	29.491062066342	41.3286909440984	97212.0513796847
0.0214	99813.227140625	31.9768248172557	45.633164498226	97668.2198115335
0.02142	100087.312085938	34.5899163582406	48.7168788425275	98190.3910433925
0.02144	100289.184265625	37.1321133066865	50.6145444363877	98733.9853678894
0.02146	100408.519554688	39.5795143708238	51.3460682334201	99259.4906336963
0.02148	100437.612265625	41.9951983331613	50.8746571830632	99750.8517099765
0.0215	100385.131296875	44.423212061778	49.156672586509	100198.820510807
0.02152	100275.689960937	46.8975194578843	46.1813172635513	100604.071242972
0.02154	100126.78503125	49.4685662393241	42.000667801973	100970.524605331
0.02156	99961.3465390625	52.2083566015895	36.7086839444559	101293.060293443
0.02158	99799.1717421875	55.1587799334319	30.4304788426644	101569.261098798
0.0216	99652.9881171875	58.2895644425999	23.3849390128492	101793.504326373
0.02162	99533.727640625	61.5316581276934	15.8516299302242	101966.083762215
0.02164	99461.70190625	64.7868386700395	8.16897477720981	102098.751694359
0.02166	99455.2773828125	67.9826295275329	0.67673845686214	102201.785401886
0.02168	99511.4054609375	71.0822677591398	-6.3339927134419	102277.544254857
0.0217	99630.03003125	74.075657945118	-12.6118783500966	102324.804875207
0.02172	99793.139984375	76.952202110937	-17.9689361859733	102339.411435286
0.02174	99979.1145078125	79.6425011509562	-22.2142362925651	102309.413784701
0.02176	100156.317265625	82.1264794743161	-25.1822378255312	102233.589941857
0.02178	100301.724710938	84.5090298790833	-26.8524763552089	102110.827500729
0.0218	100408.669179688	87.0241868999647	-27.4192073513936	101939.341962052
0.02182	100469.585257813	89.9237458010521	-27.276940341421	101728.161588294
0.02184	100475.140085937	93.3389937600233	-26.8965345328038	101476.154940876
0.02186	100423.26696875	97.1372806979127	-26.7108536654972	101203.194987232
0.02188	100331.481382813	100.709013300602	-27.0085690223176	100938.265880309
0.0219	100206.104984375	103.126112815641	-27.8233410294745	100716.04034182
0.02192	100054.8528125	103.873362012295	-28.9458479100284	100544.93460045
0.02194	99893.3793828125	102.870829251034	-30.0309890836701	100405.20333698
0.02196	99725.9490078125	100.321526526253	-30.6354479033178	100276.05532073
0.02198	99583.664984375	96.6191717387415	-30.3661208531802	100149.65897515
0.022	99449.20821875	92.2225619734882	-28.9902499040927	99991.6238725035
0.02202	99302.108140625	87.6393600298622	-26.4449192133714	99799.1233277781
0.02204	99176.1706484375	83.2998830509647	-22.9146929658854	99556.1080047771
0.02206	99095.101953125	79.4874369694282	-18.6434632557604	99318.5457236556
0.02208	99060.1925703125	76.3128769052629	-13.9575561994962	99101.3841028955
0.0221	99032.8673046875	73.8200187823293	-9.15103258936159	98914.2567356746
0.02212	99018.4846015625	71.9795907550008	-4.56860244273993	98745.5964908091
0.02214	99009.0395234375	70.6565380013564	-0.402385306859381	98612.6794841112
0.02216	98998.3413359375	69.622857879361	3.18311185771927	98504.6945362712
0.02218	98957.4563046875	68.6333362575199	6.09199722461974	98412.3324297451
0.0222	98869.9069765625	67.478248633208	8.29104502434829	98321.8876688719
0.02222	98754.293609375	66.0427028917777	9.82793797467815	98218.2904350531
0.02224	98607.2776953125	64.2541878568521	10.8394502651583	98099.6653690334
0.02226	98408.996515625	61.9100064025706	11.4797201623696	97946.2813178227
0.02228	98172.4113359375	58.9048600215345	12.0064203889162	97751.1891732776
0.0223	97921.6772421875	55.39084368124	12.6987373417929	97502.4373726088
0.02232	97706.6661171875	51.5749582741967	13.877262363354	97220.6009399805
0.02234	97554.28240625	47.6396852136118	15.760787513283	96933.6594729967
0.02236	97467.9020234375	43.747142527233	18.4398247866865	96683.5484557878
0.02238	97449.357875	40.0624781963979	21.8231856267177	96489.0378759922
0.0224	97499.0988359375	36.8054179408969	25.7149722353039	96374.6692794142
0.02242	97623.3623984375	34.2320888530319	29.8251769885979	96364.1242273177
0.02244	97804.062640625	32.6220667453983	33.7971932434388	96472.9606371321
0.02246	98021.1778671875	32.2662914431625	37.2553255102253	96693.002276568
0.02248	98263.8415625	33.3299767180136	39.8895188704684	97003.726754671
0.0225	98513.3506015625	35.7306609291358	41.5261028402176	97382.2234607905
0.02252	98745.353515625	39.1071981006183	42.1415807190846	97799.8368988854
0.02254	98931.225171875	42.9841854824436	41.8594715054127	98225.7408843816
0.02256	99055.6851171875	46.9868900936795	40.8413727999426	98634.9982853374
0.02258	99106.847515625	50.9153227278637	39.2355995533001	99009.3469625905
0.0226	99096.8132890625	54.689974092634	37.1651822724218	99346.0425673268
0.02262	99040.3485546875	58.3664377081925	34.6829892051365	99648.7050183831
0.02264	98961.524234375	61.9929450261095	31.7753624615562	99927.2044595551
0.02266	98877.4069296875	65.5320557282055	28.3711753607336	100187.545885482
0.02268	98802.659890625	68.8710991321641	24.4335852047013	100444.250523058
0.0227	98744.5399296875	71.8766735407898	19.9958098952445	100698.58614078
0.02272	98720.515765625	74.4604772015093	15.1853973260925	100948.117660116
0.02274	98731.775046875	76.581292602585	10.1851039846436	101185.375192937
0.02276	98770.266078125	78.2210303882781	5.21778615484881	101401.689783534
0.02278	98835.2874921875	79.3675307820639	0.499718779054251	101582.759838097
0.0228	98911.6897578125	79.9454693432414	-3.74947641984952	101717.061889234
0.02282	98986.5022578125	79.8431713453312	-7.33609991008908	101795.681148455
0.02284	99034.14846875	78.9646696053468	-10.1004406132814	101811.552660095
0.02286	99046.436421875	77.2286307269425	-11.9156655049495	101760.115367079
0.02288	99029.21084375	74.6381775167972	-12.7033432600478	101637.68302385
0.0229	98985.857	71.3169887364562	-12.4362006732377	101451.808578539
0.02292	98917.609296875	67.5587586767937	-11.2135037602405	101217.015360321
0.02294	98836.94271875	63.7839879628978	-9.24798669444107	100958.581442013
0.02296	98769.5086015625	60.433852735498	-6.86566403077983	100708.673997856
0.02298	98731.812453125	57.849640000669	-4.44406372124424	100503.00685404
0.023	98728.502	56.0956127779645	-2.34771847798936	100374.15476712
0.02302	98759.0722578125	54.8507012773563	-0.850593066661694	100338.510389749
0.02304	98819.7638984375	53.4056443413399	-0.0468011812442654	100386.826676089
0.02306	98908.2109765625	51.0419737390497	0.180487558121858	100489.051932313
0.02308	99009.104984375	47.4640729703405	0.0801827909609557	100591.838821202
0.0231	99116.4889765625	42.7012161573722	-0.0121093521166225	100640.419550864
